id(foreign key),size,case_thickness,dail_color,movement,strap_width,strap,strap_color,interchangeble_strap,water_resistent,above_details
1,40mm,6mm,eggshell white,japanese quarts movement,20mm,leather strap,dark brown,yes,up to 3 atm (avoid all contact with water),"The Classic Collection, recognized for its clean lines and simple design, was created with modern gentlemen and ladies in mind. With a minimalistic dial and a perfectly dark brown band, this timepiece looks effortlessly elegant. Dressed up or dressed down, this beautiful watch will stand out in any crowd."
2,40mm,6mm,eggshell white,japanese quarts movement,20mm,leather strap,black,yes,up to 3 atm (avoid all contact with water),"With leather darker than the deepest parts of the ocean, the Classic Sheffield was carefully designed to stand the test of time while maintaining its effortless beauty. This minimalistic piece proves that simple does not necessarily mean boring."
3,40mm,6mm,eggshell white,japanese quarts movement,20mm,leather strap,brown,yes,up to 3 atm (avoid all contact with water),"The Classic St. Mawes, an integral part of the flagship Classic Collection, is a slim timepiece that sits perfectly on your wrist. With a flawlessly round and simple dial, a classy leather band and an elegant casing, you have a timepiece that proves that perfection in engineering not only is a possibility, but a reality."
4,40mm,6mm,eggshell white,japanese quarts movement,20mm,leather strap,dark brown crocodile,yes,up to 3 atm (avoid all contact with water),"With a beautiful dark brown crocodile leather band, an eggshell white dial and a casing that is just 6mm thin, it is hard not to love this perfectly engineered timepiece. Inspired by a simpler time, this watch was built to stand the test of time."
5,40mm,6mm,eggshell white,japanese quarts movement,20mm,leather strap,light brown,yes,up to 3 atm (avoid all contact with water),"With its eggshell white dial, minimalistic case and elegant light brown leather strap, made from American leather, the Classic Durham is a stunning addition to the flagship Classic collection. The ultra-thin (6mm) watch is suitable for every occasion, and is available in both rose gold and silver."
6,40mm,6mm,eggshell white,japanese quarts movement,20mm,leather strap,black,yes,up to 3 atm (avoid all contact with water),"The Classic Reading from the flagship Classic collection has been designed for simplicity and effortless elegance, and features a black crocodile leather band, an eggshell white dial and an ultra-thin 6mm case. Whether you are attending a formal event, playing a game of tennis or enjoying a sunny day at the country club â€“ Daniel Wellington makes for a beautiful companion. Not only that, but with interchangeable straps you will have a unique timepiece for every day of the week."
7,40mm,6mm,eggshell white,japanese quarts movement,20mm,nato strap,blue and white,yes,up to 3 atm (avoid all contact with water),"This is a beautiful watch that celebrates the timeless and elegant nautical spirit, capturing the essence of a summer by the ocean. Perfect for those who know that the right accessory makes all the difference."
8,40mm,6mm,eggshell white,japanese quarts movement,20mm,nato strap,"blue, red and white",yes,up to 3 atm (avoid all contact with water),"Inspired by the gorgeous colors of a classic flag, this red, white and blue NATO band celebrates timeless preppy American fashion. The playful band, when paired with the simplistic and elegantly slim dial, gives you a timepiece that can be worn to both work and after work."
9,40mm,6mm,eggshell white,japanese quarts movement,20mm,nato strap,"blue, red and white",yes,up to 3 atm (avoid all contact with water),"Inspired by the gorgeous colors of a classic flag, this red, white and blue NATO band celebrates timeless preppy American fashion. The playful band, when paired with the simplistic and elegantly slim dial, gives you a timepiece that can be worn to both work and after work."
10,40mm,6mm,eggshell white,japanese quarts movement,20mm,nato strap,blue and green,yes,up to 3 atm (avoid all contact with water),"Blue, the color of the sky and the sea, blends naturally with green, the beautiful color of nature. The color combination of the NATO band, when paired with the classy finish of the dial, gives you an elegant timepiece that is perfect for both everyday wear and special events."
11,40mm,6mm,eggshell white,japanese quarts movement,20mm,leather strap,red,yes,up to 3 atm (avoid all contact with water),"Unveil your true self with the Classic Suffolk, a discrete yet captivating eye-catcher. This minimalistic, limited edition timepiece features an eggshell white dial and an ultra-thin 6mm case. Inspired by the noble and classic colors of our NATO straps, the deep red leather strap makes an exciting yet subtle contrast to the rose gold case. The Classic Suffolk is a time teller that is sure to make you stand out in the crowd."
12,40mm,6mm,eggshell white,japanese quarts movement,20mm,leather strap,blue,yes,up to 3 atm (avoid all contact with water),"Add a touch of color to your everyday style with the Classic Somerset. This elegant, limited edition timepiece features an eggshell white dial and an ultra-thin 6mm case in rose gold. With influence from our NATO straps, the navy blue leather strap was created to make this a versatile timepiece that truly lets you personalize your style."
13,40mm,6mm,black,japanese quarts movement,20mm,leather strap,black,yes,up to 3 atm (avoid all contact with water),"With a black strap made from genuine Italian leather and a distinctive dial, the Classic Black Sheffield is a sophisticated timepiece that adds confidence and attitude to your style."
14,40mm,6mm,black,japanese quarts movement,20mm,leather strap,black,yes,up to 3 atm (avoid all contact with water),"The Classic Reading from the flagship Classic collection has been designed for simplicity and effortless elegance, and features a black crocodile leather band, an eggshell white dial and an ultra-thin 6mm case. Whether you are attending a formal event, playing a game of tennis or enjoying a sunny day at the country club â€“ Daniel Wellington makes for a beautiful companion. Not only that, but with interchangeable straps you will have a unique timepiece for every day of the week."
15,40mm,6mm,black,japanese quarts movement,20mm,nato strap,black,yes,up to 3 atm (avoid all contact with water),"With its distinctive dial and all-black NATO strap, the Classic Black Cornwall is a true eye-catcher that embodies the timeless and elegant characteristics of our flagship Classic collection. With a sleek design and a captivating essence, this is a modern Classic made for every occasion."
16,40mm,6mm,black,japanese quarts movement,20mm,leather strap,brown,yes,up to 3 atm (avoid all contact with water),"Featuring a classy brown leather strap and an elegant black dial, the Classic Black St. Mawes proves that perfection in engineering not only is a possibility, but a reality.
"
17,40mm,6mm,black,japanese quarts movement,20mm,leather strap,light brown,yes,up to 3 atm (avoid all contact with water),"With a neat black dial and a light brown strap made from genuine American leather, the Classic Black Durham is the choice for the real connoisseur. Treated with vegetable oil, Durham offers a unique pull-up effect, allowing the strap to develop its gorgeous and highly individual patina."
18,40mm,6mm,black,japanese quarts movement,20mm,leather strap,dark brown crocodile,yes,up to 3 atm (avoid all contact with water),"Classic Black York is an elegant watch that excudes confidence and style. With a timeless dark brown croc embossed leather strap, a sophisticated black dial and a thin case of just 6mm, this is a watch to love for years to come."
19,40mm,6mm,black,japanese quarts movement,20mm,leather strap,dark brown,yes,up to 3 atm (avoid all contact with water),"With a luxurious black dial and a perfectly dark brown leather strap, the Classic Black Bristol brings effortless elegance to mind. Dressed up or down, this exquisite watch will stand out in any crowd."
20,38mm,7mm,eggshell white,japanese quarts movement,19mm,leather strap,black,yes,up to 3 atm (avoid all contact with water),"Carefully designed with timeless elegance in mind, the Dapper Sheffield is a suitable companion whether you are looking for a watch to go with a dressed up or a more casual look. The 38 mm watch is available in silver or rose gold and comes with the classic Sheffield black genuine leather strap, made from Italian leather."
21,38mm,7mm,eggshell white,japanese quarts movement,19mm,leather strap,brown,yes,up to 3 atm (avoid all contact with water),"The elegant Dapper St Mawes has everything you need in order to look sleek and well-dressed. This 38 mm watch from the Dapper Collection is available in silver or rose gold and has been enriched with deep blue hands, Roman numerals and date display. The simplistic case merges seamlessly with the brown St Mawes leather strap, made from Italian leather, and completes the look of a timeless and sophisticated watch. Be your own style icon and speak for a handsome and dapper look at all times."
22,38mm,7mm,eggshell white,japanese quarts movement,19mm,leather strap,light brown,yes,up to 3 atm (avoid all contact with water),"The Dapper Durham is a great addition to any wardrobe, and goes with all styles and ages. With sophisticated details such as deep blue hands, Roman numerals and a date display, it will always keep you on point in an exquisite way. The watch is available with a silver or rose gold case, which is paired with the light brown Durham strap, made from American leather."
23,38mm,7mm,eggshell white,japanese quarts movement,19mm,leather strap,dark brown crocodile,yes,up to 3 atm (avoid all contact with water),"A classic watch in a timeless design, the Dapper York is a great addition to any wardrobe and goes with all styles and ages. The eggshell white dial has been enriched with deep blue hands, Roman numerals and date display and will always keep you on point in an exquisite way. "
24,38mm,7mm,eggshell white,japanese quarts movement,19mm,leather strap,black,yes,up to 3 atm (avoid all contact with water),"The Dapper Reading has been designed for timeless elegance, and goes with all styles and ages. The 38mm watch is available in silver or rose gold and features a black leather strap with crocodile texture. With sophisticated details such as deep blue hands, Roman numerals and a date display, the Dapper Reading is a great addition to any wardrobe. Be your own style icon and speak for a handsome and dapper look at all times."
25,38mm,7mm,eggshell white,japanese quarts movement,19mm,leather strap,dark brown,yes,up to 3 atm (avoid all contact with water),"The sleek Dapper Bristol is a 38 mm watch from the Dapper collection, introducing deep blue hands, Roman numerals and date display. Made from genuine Italian leather, the deep brown Bristol strap can be paired with a silver or rose gold case, which makes for a slender and sophisticated watch with a high-end look. "